USN,Department,Year,Skills_Already_Know,Proficiency_Already_Know,Skills_Currently_Learning,Proficiency_Currently_Learning,Skills_Want_To_Learn,Proficiency_Want_To_Learn,Total_Skills
1KG23AD039,AI&DS,3,AI; Pandas; SQL; Data Visualization,5; 4; 4; 5,NumPy; Machine Learning; Statistics; Scikit-learn,3; 3; 2; 1,Finite Element Analysis; 3D Design; Surveying,0; 2; 0,11
1KG23AD040,AI&DS,4,PyTorch; Machine Learning; Data Visualization; Pandas; TensorFlow; MATLAB,4; 5; 5; 4; 5; 3,SQL; Git; AI; Scikit-learn,1; 3; 1; 2,GIS; Surveying,0; 2,12
1KG23AD041,AI&DS,1,Scikit-learn; Python; Data Visualization; TensorFlow,3; 5; 4; 5,NumPy; MATLAB; PyTorch; Statistics,3; 2; 3; 3,Docker; Pandas,0; 0,10
1KG23AD042,AI&DS,2,PyTorch; TensorFlow; Statistics; NumPy; Scikit-learn; Python; MATLAB,5; 4; 5; 4; 5; 4; 4,Data Visualization; Deep Learning; Machine Learning,1; 1; 2,Java; Thermodynamics; Separation Processes; Reaction Engineering,1; 0; 2; 2,14
1KG23AD043,AI&DS,3,Scikit-learn; NumPy; Git,3; 5; 3,Pandas; Python; SQL; Statistics,2; 2; 1; 3,Finite Element Analysis; AI; Databases,1; 2; 1,10
1KG23AD044,AI&DS,4,Statistics; TensorFlow; Pandas; AI,4; 4; 5; 4,Machine Learning; Scikit-learn,1; 1,Revit; 3D Design; Excel; MATLAB,1; 0; 1; 2,10
1KG23AD045,AI&DS,1,Scikit-learn; PyTorch; Statistics,5; 4; 3,Data Visualization; Deep Learning; SQL; TensorFlow,3; 1; 3; 1,Surveying; NumPy; Organic Chemistry; MATLAB,0; 0; 0; 1,11
1KG23AD046,AI&DS,2,Data Visualization; Machine Learning; AI; NumPy; Scikit-learn,4; 5; 3; 4; 5,TensorFlow; Statistics; Deep Learning,2; 1; 2,Automotive Design; Revit; Finite Element Analysis,2; 1; 2,11
1KG23AD047,AI&DS,3,TensorFlow; MATLAB; Machine Learning; Python; AI; SQL,3; 3; 5; 3; 3; 5,Data Visualization; PyTorch,1; 2,Node.js; Scikit-learn,0; 0,10
1KG23AD048,AI&DS,4,Machine Learning; PyTorch; NumPy; Python; AI; TensorFlow,4; 3; 3; 5; 4; 5,SQL; Data Visualization,2; 2,Pandas; Finite Element Analysis; Statistics; 3D Design,0; 2; 0; 2,12
1KG23AD049,AI&DS,1,Scikit-learn; PyTorch; MATLAB; AI; Python; NumPy; Pandas,4; 5; 3; 3; 3; 4; 5,Deep Learning; Machine Learning; Data Visualization; TensorFlow,3; 3; 2; 2,Surveying; SQL; GIS; SolidWorks,1; 1; 0; 1,15
1KG23AD050,AI&DS,2,Scikit-learn; Pandas; AI; PyTorch,4; 3; 5; 4,SQL; MATLAB,1; 2,TensorFlow; Process Control,2; 0,8
1KG23AD051,AI&DS,3,PyTorch; Python; MATLAB; Data Visualization; TensorFlow; Scikit-learn; SQL; Pandas,3; 5; 4; 3; 3; 4; 5; 4,AI; Git,1; 2,Powertrain; Separation Processes; C++; Manufacturing,1; 2; 1; 1,14
1KG23AD052,AI&DS,4,Machine Learning; MATLAB; AI; TensorFlow; Python,3; 5; 5; 3; 4,PyTorch; Deep Learning; SQL,2; 2; 3,Git; Finite Element Analysis; Engine Systems,0; 0; 2,11
1KG23AD053,AI&DS,1,Machine Learning; NumPy,4; 5,TensorFlow; Statistics; Data Visualization,3; 1; 2,Finite Element Analysis; Databases; CAD,1; 2; 2,8
1KG23AD054,AI&DS,2,Scikit-learn; Python; NumPy; Pandas,3; 4; 4; 4,Statistics; Machine Learning,3; 2,SQL; TensorFlow,2; 2,8
1KG23AD055,AI&DS,3,PyTorch; Data Visualization; Python,4; 3; 4,TensorFlow; Machine Learning,2; 3,Pandas; Java; Databases,0; 1; 0,8
1KG23AD056,AI&DS,4,MATLAB; SQL; AI; PyTorch; Scikit-learn; TensorFlow,5; 3; 4; 4; 5; 4,Git; Machine Learning,1; 1,Process Control; 3D Design; Docker; Soil Mechanics,1; 1; 2; 2,12
1KG23AD057,AI&DS,1,Machine Learning; Scikit-learn; Pandas,5; 3; 3,Deep Learning; MATLAB; PyTorch; TensorFlow,3; 2; 1; 2,Python; Statistics,2; 1,9
1KG23AD058,AI&DS,2,PyTorch; NumPy; Python; Data Visualization,4; 4; 3; 5,MATLAB; Machine Learning,2; 2,AutoCAD; Concrete Design; Reaction Engineering; CAD,2; 0; 1; 2,10
1KG23AD059,AI&DS,3,Pandas; Python; AI; TensorFlow; Data Visualization; Statistics,5; 4; 4; 5; 5; 5,Machine Learning; NumPy,2; 2,Thermodynamics; Engine Systems; Structural Analysis,1; 0; 2,11
1KG23AD060,AI&DS,4,NumPy; AI; SQL; PyTorch; Data Visualization; Statistics; Scikit-learn,3; 5; 5; 3; 4; 5; 4,MATLAB; TensorFlow; Pandas; Python,3; 3; 2; 3,Separation Processes; Revit; HTML,0; 0; 1,14
1KG23AD061,AI&DS,1,AI; Data Visualization; Machine Learning; Python; Pandas,5; 3; 5; 4; 3,Scikit-learn; MATLAB,3; 2,Organic Chemistry; TensorFlow,2; 2,9
1KG23AD062,AI&DS,2,MATLAB; Scikit-learn; AI; NumPy,4; 4; 3; 4,Pandas; Machine Learning; PyTorch; Git,2; 2; 3; 3,React; Deep Learning; Process Control,1; 0; 2,11
1KG23AD063,AI&DS,3,NumPy; PyTorch; Python; Data Visualization; Machine Learning,4; 3; 3; 4; 4,Deep Learning; Statistics,2; 3,SolidWorks; TensorFlow; AI,1; 0; 0,10
1KG23AD064,AI&DS,4,Data Visualization; Machine Learning; PyTorch; AI,5; 4; 4; 5,SQL; Statistics,2; 1,AutoCAD; Git,2; 1,8
1KG23AD065,AI&DS,1,Pandas; NumPy,3; 4,Git; AI; Scikit-learn; PyTorch,2; 3; 3; 1,Python; 3D Design; Soil Mechanics; GIS,1; 1; 0; 2,10
1KG23AD066,AI&DS,2,AI; PyTorch; Deep Learning; Pandas; Machine Learning,4; 4; 3; 5; 4,Data Visualization; SQL; NumPy,1; 2; 1,Finite Element Analysis; Git; Excel; Process Control,0; 1; 2; 1,12
1KG23AD067,AI&DS,3,Data Visualization; PyTorch; Scikit-learn,5; 4; 3,Python; Statistics; MATLAB,1; 2; 2,TensorFlow; 3D Design; Web Development; SolidWorks,0; 2; 0; 1,10
1KG23AD068,AI&DS,4,Python; TensorFlow; PyTorch; MATLAB; Data Visualization,3; 4; 5; 4; 4,AI; SQL; Deep Learning; NumPy,1; 2; 3; 1,HTML; Vehicle Dynamics; Finite Element Analysis; Machine Learning,1; 2; 1; 1,13
1KG23AD069,AI&DS,1,Scikit-learn; AI; TensorFlow; Pandas; PyTorch,3; 5; 5; 4; 4,NumPy; Statistics; SQL; Data Visualization,3; 2; 1; 1,SolidWorks; Java,1; 1,11
1KG23AD070,AI&DS,2,NumPy; Pandas; PyTorch; TensorFlow; Scikit-learn; Python,4; 4; 5; 4; 3; 3,Data Visualization; AI,3; 2,Finite Element Analysis; SolidWorks; Web Development; Manufacturing,2; 1; 2; 1,12
1KG23AD071,AI&DS,3,AI; TensorFlow; Machine Learning,3; 5; 4,Statistics; Scikit-learn; Git; Data Visualization,2; 1; 3; 3,React; Excel; CSS; Soil Mechanics,0; 0; 0; 0,11
1KG23AD072,AI&DS,4,AI; Python; NumPy; PyTorch; TensorFlow,3; 4; 4; 5; 5,MATLAB; Git; Machine Learning,2; 3; 1,HTML; Structural Analysis,1; 1,10
1KG23AD073,AI&DS,1,TensorFlow; Git; AI; Machine Learning; PyTorch; Data Visualization; NumPy,4; 3; 3; 4; 5; 3; 4,Scikit-learn; Statistics; MATLAB; SQL,3; 3; 2; 1,Vehicle Dynamics; Pandas; Finite Element Analysis; CAD,2; 0; 2; 2,15
1KG23AD074,AI&DS,2,SQL; PyTorch; AI; Deep Learning; TensorFlow,5; 3; 5; 4; 5,Statistics; Machine Learning; Pandas; Data Visualization,2; 3; 2; 2,Organic Chemistry; HTML,1; 0,11
1KG23AD075,AI&DS,3,TensorFlow; Scikit-learn,3; 4,Python; MATLAB; PyTorch; Machine Learning,2; 1; 2; 3,Finite Element Analysis; HTML; SolidWorks; Statistics,0; 1; 1; 0,10
1KG23AD076,AI&DS,4,Machine Learning; TensorFlow; Deep Learning; MATLAB; Python,3; 3; 4; 5; 4,Data Visualization; PyTorch; Statistics,1; 2; 3,SolidWorks; Soil Mechanics; Pandas,1; 0; 0,11
1KG23AD077,AI&DS,1,TensorFlow; NumPy; Data Visualization; Scikit-learn,4; 5; 4; 4,Statistics; Git; MATLAB,3; 3; 1,AutoCAD; Databases; Structural Analysis,1; 2; 1,10
1KG23AD078,AI&DS,2,NumPy; Python; TensorFlow; Statistics; Machine Learning; Scikit-learn; Pandas,5; 3; 3; 3; 3; 5; 4,Git; Deep Learning; Data Visualization,3; 3; 1,HTML; Process Control; Organic Chemistry,2; 2; 1,13
1KG23AD079,AI&DS,3,TensorFlow; Scikit-learn; Statistics; NumPy; PyTorch; Pandas; Data Visualization,5; 5; 5; 3; 5; 4; 4,MATLAB; Git; Machine Learning; Python,3; 1; 3; 2,CAD; Revit,0; 2,13
1KG23AD080,AI&DS,4,Python; Scikit-learn; Machine Learning,3; 4; 5,AI; Git,3; 2,Engine Systems; GIS; Data Visualization; Deep Learning,2; 1; 2; 1,9
1KG23AD081,AI&DS,1,AI; Machine Learning; TensorFlow; Statistics; PyTorch; Pandas; NumPy,3; 4; 4; 5; 3; 5; 5,Python; Data Visualization; MATLAB,3; 3; 2,GIS; Powertrain; Revit,1; 1; 0,13
1KG23AD082,AI&DS,2,Python; NumPy; PyTorch; Data Visualization,5; 4; 3; 3,TensorFlow; Machine Learning; MATLAB; SQL,1; 3; 3; 3,Automotive Design; Engine Systems,2; 2,10
1KG23AD083,AI&DS,3,Pandas; Python; Scikit-learn,3; 5; 3,Machine Learning; NumPy,2; 3,PyTorch; React; Databases,1; 1; 2,8
1KG23AD084,AI&DS,4,SQL; Pandas; Machine Learning,3; 3; 4,NumPy; Data Visualization; Statistics,1; 2; 3,MATLAB; Thermodynamics; C++; Web Development,2; 2; 2; 1,10
1KG23AD085,AI&DS,1,TensorFlow; Scikit-learn; Data Visualization,3; 5; 4,Pandas; NumPy; Statistics; AI,2; 3; 3; 1,Revit; Reaction Engineering,2; 1,9
1KG23AD086,AI&DS,2,Machine Learning; AI,4; 4,SQL; Data Visualization,2; 1,C++; Thermodynamics; NumPy,2; 2; 2,7
1KG23AD087,AI&DS,3,PyTorch; NumPy; SQL,4; 4; 3,MATLAB; Git; Pandas,3; 1; 3,Excel; Powertrain; Soil Mechanics,0; 0; 1,9
1KG23AD088,AI&DS,4,MATLAB; Pandas; Scikit-learn; PyTorch,5; 4; 5; 5,SQL; Machine Learning; Statistics,3; 3; 1,3D Design; Project Management; React; Thermodynamics,2; 1; 0; 2,11
1KG23AD089,AI&DS,1,NumPy; Machine Learning; Scikit-learn,3; 5; 4,PyTorch; Statistics; Git,2; 3; 2,Separation Processes; Java; SolidWorks; Node.js,2; 0; 2; 0,10
1KG23AD090,AI&DS,2,PyTorch; Deep Learning; AI,4; 3; 4,NumPy; MATLAB; Pandas,2; 2; 2,Java; Machine Learning; Docker,0; 2; 1,9
1KG23AD091,AI&DS,3,AI; Git; TensorFlow,4; 4; 5,Machine Learning; Pandas; MATLAB; PyTorch,1; 1; 2; 2,C++; Deep Learning,2; 0,9
1KG23AD092,AI&DS,4,Python; AI,3; 5,Deep Learning; Machine Learning,3; 3,Automotive Design; Concrete Design,1; 1,6
1KG23AD093,AI&DS,1,SQL; Pandas; Data Visualization; AI; Git,5; 5; 5; 4; 3,NumPy; Python; PyTorch,2; 2; 1,Powertrain; React; Organic Chemistry; AutoCAD,1; 0; 1; 2,12
1KG23AD094,AI&DS,2,Data Visualization; AI; Scikit-learn; PyTorch; Pandas,3; 3; 4; 5; 3,Statistics; Git; Python,3; 3; 1,Soil Mechanics; SolidWorks; Manufacturing,1; 2; 0,11
1KG23AD095,AI&DS,3,Machine Learning; NumPy; Scikit-learn; PyTorch; Data Visualization,5; 5; 5; 5; 3,Pandas; AI; Python,1; 1; 1,SQL; Surveying; SolidWorks; Deep Learning,1; 0; 2; 1,12
1KG23AD096,AI&DS,4,AI; PyTorch; Scikit-learn; NumPy,4; 3; 5; 4,Data Visualization; TensorFlow; Machine Learning,2; 1; 3,Process Control; Separation Processes,1; 2,9
1KG23AD097,AI&DS,1,AI; TensorFlow; PyTorch; Machine Learning; Data Visualization; NumPy,5; 5; 5; 4; 4; 3,Deep Learning; SQL; Git; Pandas,2; 1; 3; 3,AutoCAD; Concrete Design,0; 2,12
1KG23AD098,AI&DS,2,AI; Python,3; 5,SQL; Data Visualization,3; 2,Engine Systems; Powertrain; Git,2; 2; 1,7
1KG23AD099,AI&DS,3,Python; Data Visualization; AI; NumPy; Pandas,3; 5; 5; 5; 4,SQL; MATLAB,3; 1,Deep Learning; Docker,1; 1,9
1KG23AD100,AI&DS,4,Pandas; AI; TensorFlow; Machine Learning,4; 5; 3; 5,SQL; Scikit-learn; Deep Learning; Python,2; 3; 2; 1,Node.js; React; MATLAB; CSS,1; 2; 1; 2,12
1KG23CS001,CSE,1,Java; C++,4; 3,CSS; Web Development,3; 3,Process Control; Scikit-learn,0; 0,6
1KG23CS002,CSE,2,Web Development; C++; SQL; React; Java; HTML,4; 5; 3; 5; 5; 3,Databases; Docker; Node.js; CSS,2; 1; 1; 2,PyTorch; Excel; Concrete Design; NumPy,1; 1; 0; 1,14
1KG23CS003,CSE,3,C++; Node.js; Java; CSS; HTML; React; Databases,4; 5; 5; 3; 5; 4; 4,SQL; Web Development; Git,2; 2; 2,MATLAB; GIS; Machine Learning,0; 1; 1,13
1KG23CS004,CSE,4,React; Java; HTML; SQL; CSS; Web Development,4; 4; 3; 5; 5; 3,Git; C++; Docker; Node.js,1; 2; 2; 2,Process Control; AI; Project Management,1; 1; 1,13
1KG23CS005,CSE,1,CSS; Web Development; Java; HTML,5; 5; 3; 4,SQL; Databases,1; 2,Pandas; TensorFlow; Thermodynamics,1; 1; 1,9
1KG23CS006,CSE,2,Web Development; CSS; React; C++; HTML; Node.js,5; 3; 4; 4; 4; 4,SQL; Git; Python,3; 3; 1,Powertrain; Concrete Design; Surveying; Soil Mechanics,1; 1; 2; 0,13
1KG23CS007,CSE,3,SQL; CSS; HTML; Web Development; C++,4; 5; 4; 5; 4,Java; Git; React; Node.js,2; 3; 3; 3,Machine Learning; MATLAB; Automotive Design; TensorFlow,0; 2; 2; 0,13
1KG23CS008,CSE,4,HTML; Web Development; React; Node.js; Java; CSS,4; 4; 5; 5; 5; 5,Python; C++,2; 1,Reaction Engineering; Machine Learning; Finite Element Analysis,2; 0; 1,11
1KG23CS009,CSE,1,C++; React; SQL; Node.js,5; 5; 4; 4,Java; HTML,3; 1,Excel; MATLAB,2; 0,8
1KG23CS010,CSE,2,Web Development; C++; Node.js,3; 4; 5,Python; Java,2; 1,Git; React; Reaction Engineering; CAD,1; 1; 0; 2,9
1KG23CS011,CSE,3,Web Development; Python; SQL; React,4; 4; 3; 4,CSS; Java,2; 3,NumPy; Git; Excel; Pandas,1; 2; 0; 1,10
1KG23CS012,CSE,4,Python; Databases; Web Development; CSS; C++; Node.js,3; 3; 4; 5; 3; 5,React; Java; HTML,3; 2; 2,3D Design; Powertrain,2; 2,11
1KG23CS013,CSE,1,Web Development; CSS; React,5; 3; 4,Git; SQL,1; 2,Surveying; Statistics; Java; Organic Chemistry,1; 0; 0; 2,9
1KG23CS014,CSE,2,Web Development; React,5; 4,Java; Databases,3; 3,3D Design; MATLAB,1; 2,6
1KG23CS015,CSE,3,SQL; Docker; React; HTML; Java,4; 4; 4; 3; 4,Databases; C++,1; 3,TensorFlow; PyTorch; Process Control; Finite Element Analysis,0; 0; 0; 2,11
1KG23CS016,CSE,4,Node.js; C++; CSS; HTML,5; 5; 3; 3,SQL; Docker; Git,1; 3; 1,Process Control; Thermodynamics,0; 2,9
1KG23CS017,CSE,1,Web Development; Node.js; C++; React; CSS,5; 4; 4; 4; 4,SQL; Git; Databases; Docker,3; 3; 3; 2,CAD; Organic Chemistry,0; 1,11
1KG23CS018,CSE,2,CSS; Databases; HTML; Web Development,4; 5; 3; 3,Git; Node.js,1; 1,PyTorch; Separation Processes; Organic Chemistry,0; 2; 0,9
1KG23CS019,CSE,3,HTML; Databases; Java; CSS; Web Development,3; 4; 5; 4; 5,Git; C++; Python; Node.js,3; 1; 1; 1,AI; SQL; Deep Learning,2; 2; 1,12
1KG23CS020,CSE,4,SQL; Java,4; 5,Git; C++,1; 2,Machine Learning; NumPy,1; 1,6
1KG23CS021,CSE,1,CSS; Git; C++; HTML,5; 5; 3; 4,Docker; Java; Web Development,1; 2; 3,Reaction Engineering; React; AI; Machine Learning,0; 0; 2; 2,11
1KG23CS022,CSE,2,Node.js; C++; Web Development; React; SQL,5; 3; 5; 4; 3,Java; Databases; Python; CSS,2; 3; 1; 1,Organic Chemistry; Finite Element Analysis; Automotive Design,1; 2; 2,12
1KG23CS023,CSE,3,Git; Java; Web Development; Docker,4; 3; 3; 5,Node.js; SQL,1; 1,TensorFlow; Python,1; 2,8
1KG23CS024,CSE,4,React; CSS; Java; Web Development; Git; HTML; SQL,3; 5; 4; 4; 5; 5; 5,Node.js; Python; Docker; C++,3; 1; 1; 1,Statistics; Finite Element Analysis,1; 2,13
1KG23CS025,CSE,1,React; Python; Java; CSS; SQL; C++; Web Development,3; 5; 4; 5; 3; 3; 4,Docker; Node.js; HTML,3; 3; 3,AutoCAD; Data Visualization,2; 1,12
1KG23CS026,CSE,2,Databases; HTML; CSS,3; 5; 5,C++; Python; React; Docker,1; 1; 1; 1,Statistics; TensorFlow,1; 0,9
1KG23CS027,CSE,3,SQL; Java; Docker; Node.js,4; 5; 4; 4,Git; C++,3; 3,React; Soil Mechanics,2; 0,8
1KG23CS028,CSE,4,Web Development; Node.js; React; C++; SQL,4; 5; 4; 5; 5,CSS; Docker,3; 2,AutoCAD; Automotive Design,0; 0,9
1KG23CS029,CSE,1,C++; CSS; Databases; Java; Node.js; Python; Web Development,4; 4; 3; 3; 5; 4; 3,HTML; React,3; 2,Machine Learning; MATLAB; AutoCAD,0; 2; 1,12
1KG23CS030,CSE,2,Git; React; Java,4; 4; 4,CSS; Databases; HTML; SQL,1; 1; 1; 1,Machine Learning; GIS; Process Control; PyTorch,1; 1; 1; 0,11
1KG23CS031,CSE,3,Web Development; React; C++; HTML; CSS; SQL,5; 5; 5; 3; 3; 4,Node.js; Python,2; 2,Structural Analysis; Thermodynamics; Databases; Manufacturing,0; 1; 1; 2,12
1KG23CS032,CSE,4,React; CSS; HTML; C++; Node.js; Java,5; 5; 5; 3; 5; 5,SQL; Databases; Web Development,1; 3; 2,Machine Learning; TensorFlow,0; 0,11
1KG23CS033,CSE,1,Node.js; C++; Java; SQL; React,3; 3; 4; 4; 4,HTML; Git,3; 3,NumPy; Data Visualization,1; 2,9
1KG23CS034,CSE,2,React; Java; Web Development; CSS; C++,4; 5; 4; 4; 5,HTML; Docker; Git,2; 2; 2,Separation Processes; NumPy,2; 0,10
1KG23CS035,CSE,3,Node.js; Java; Docker,5; 3; 3,Python; Databases,2; 3,Structural Analysis; Deep Learning; AutoCAD; Excel,1; 0; 0; 0,9
1KG23CS036,CSE,4,Git; Node.js; SQL; CSS; Web Development; HTML; Java,3; 3; 3; 3; 5; 3; 3,React; C++; Python; Databases,1; 2; 3; 1,Structural Analysis; Concrete Design; Process Control,2; 2; 0,14
